    # BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
         162         1.101715e+00         1.097490e+00         1.156651e-03
         163         1.121214e+00         1.097635e+00         1.158676e-03
         164         1.100057e+00         1.097650e+00         1.151705e-03
         165         1.078099e+00         1.097532e+00         1.150804e-03
         166         1.078030e+00         1.097414e+00         1.149852e-03
         167         1.108748e+00         1.097482e+00         1.144968e-03
         168         1.114927e+00         1.097586e+00         1.142852e-03
         169         1.085290e+00         1.097513e+00         1.138403e-03
         170         1.097454e+00         1.097513e+00         1.131706e-03
         171         1.083167e+00         1.097429e+00         1.128193e-03
         172         1.096599e+00         1.097424e+00         1.121644e-03
         173         1.084131e+00         1.097347e+00         1.117789e-03
         174         1.098036e+00         1.097351e+00         1.111372e-03
         175         1.111610e+00         1.097433e+00         1.108004e-03
         176         1.098592e+00         1.097439e+00         1.101728e-03
         177         1.087341e+00         1.097382e+00         1.096980e-03
         178         1.098311e+00         1.097387e+00         1.090830e-03
         179         1.102350e+00         1.097415e+00         1.085088e-03
         180         1.101334e+00         1.097437e+00         1.079278e-03
         181         1.101023e+00         1.097457e+00         1.073497e-03
         182         1.108497e+00         1.097517e+00         1.069311e-03
         183         1.106543e+00         1.097567e+00         1.064605e-03
         184         1.122447e+00         1.097702e+00         1.067371e-03
         185         1.108852e+00         1.097762e+00         1.063302e-03
         186         1.107133e+00         1.097812e+00         1.058778e-03
         187         1.107070e+00         1.097862e+00         1.054273e-03
         188         1.115794e+00         1.097957e+00         1.052971e-03
         189         1.092021e+00         1.097926e+00         1.047868e-03
         190         1.121679e+00         1.098051e+00         1.049784e-03
         191         1.134027e+00         1.098239e+00         1.061051e-03
         192         1.101742e+00         1.098258e+00         1.055682e-03
         193         1.097474e+00         1.098254e+00         1.050220e-03
         194         1.100598e+00         1.098266e+00         1.044876e-03
         195         1.114702e+00         1.098350e+00         1.042912e-03
         196         1.107115e+00         1.098395e+00         1.038549e-03
         197         1.079046e+00         1.098296e+00         1.037911e-03
         198         1.093478e+00         1.098272e+00         1.032954e-03
         199         1.084230e+00         1.098201e+00         1.030171e-03
         200         1.108750e+00         1.098254e+00         1.026370e-03
