    # BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
         159        -5.450644e+00        -5.452758e+00         1.783404e-03
         160        -5.462880e+00        -5.452822e+00         1.773379e-03
         161        -5.456367e+00        -5.452844e+00         1.762501e-03
         162        -5.459845e+00        -5.452887e+00         1.752151e-03
         163        -5.490125e+00        -5.453115e+00         1.756232e-03
         164        -5.457118e+00        -5.453140e+00         1.745693e-03
         165        -5.422988e+00        -5.452957e+00         1.744651e-03
         166        -5.421691e+00        -5.452769e+00         1.744278e-03
         167        -5.469473e+00        -5.452869e+00         1.736699e-03
         168        -5.478554e+00        -5.453022e+00         1.733078e-03
         169        -5.433454e+00        -5.452906e+00         1.726687e-03
         170        -5.451940e+00        -5.452900e+00         1.716539e-03
         171        -5.430055e+00        -5.452767e+00         1.711692e-03
         172        -5.453411e+00        -5.452770e+00         1.701744e-03
         173        -5.432542e+00        -5.452653e+00         1.695920e-03
         174        -5.453788e+00        -5.452660e+00         1.686186e-03
         175        -5.473272e+00        -5.452778e+00         1.680659e-03
         176        -5.454412e+00        -5.452787e+00         1.671135e-03
         177        -5.440090e+00        -5.452715e+00         1.663233e-03
         178        -5.453246e+00        -5.452718e+00         1.653892e-03
         179        -5.460323e+00        -5.452761e+00         1.645198e-03
         180        -5.457944e+00        -5.452790e+00         1.636310e-03
         181        -5.456694e+00        -5.452811e+00         1.627411e-03
         182        -5.470827e+00        -5.452910e+00         1.621477e-03
         183        -5.466930e+00        -5.452987e+00         1.614426e-03
         184        -5.490433e+00        -5.453190e+00         1.618428e-03
         185        -5.469877e+00        -5.453280e+00         1.612192e-03
         186        -5.468293e+00        -5.453361e+00         1.605543e-03
         187        -5.467886e+00        -5.453439e+00         1.598835e-03
         188        -5.482484e+00        -5.453593e+00         1.597778e-03
         189        -5.444138e+00        -5.453543e+00         1.590107e-03
         190        -5.490831e+00        -5.453740e+00         1.593803e-03
         191        -5.511247e+00        -5.454041e+00         1.613647e-03
         192        -5.458384e+00        -5.454063e+00         1.605401e-03
         193        -5.452424e+00        -5.454055e+00         1.597105e-03
         194        -5.456697e+00        -5.454068e+00         1.588931e-03
         195        -5.479211e+00        -5.454197e+00         1.586005e-03
         196        -5.467257e+00        -5.454264e+00         1.579312e-03
         197        -5.425178e+00        -5.454116e+00         1.578182e-03
         198        -5.447245e+00        -5.454082e+00         1.570592e-03
         199        -5.433343e+00        -5.453977e+00         1.566154e-03
         200        -5.468621e+00        -5.454051e+00         1.560033e-03
