    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
         166         1.588796e+00         1.448093e+00         8.455431e-03
         167         1.476555e+00         1.448263e+00         8.406517e-03
         168         1.337840e+00         1.447606e+00         8.382134e-03
         169         1.505296e+00         1.447948e+00         8.339484e-03
         170         1.547150e+00         1.448531e+00         8.310819e-03
         171         1.520155e+00         1.448950e+00         8.272766e-03
         172         1.398217e+00         1.448655e+00         8.229925e-03
         173         1.379304e+00         1.448254e+00         8.192110e-03
         174         1.430211e+00         1.448150e+00         8.145686e-03
         175         1.359724e+00         1.447645e+00         8.114796e-03
         176         1.438749e+00         1.447595e+00         8.068846e-03
         177         1.448754e+00         1.447601e+00         8.023262e-03
         178         1.485118e+00         1.447812e+00         7.980956e-03
         179         1.429341e+00         1.447709e+00         7.937037e-03
         180         1.443456e+00         1.447685e+00         7.892977e-03
         181         1.550261e+00         1.448252e+00         7.869689e-03
         182         1.427036e+00         1.448135e+00         7.827312e-03
         183         1.296176e+00         1.447305e+00         7.828462e-03
         184         1.276598e+00         1.446377e+00         7.840697e-03
         185         1.344851e+00         1.445828e+00         7.817497e-03
         186         1.397633e+00         1.445569e+00         7.779761e-03
         187         1.407311e+00         1.445365e+00         7.740847e-03
         188         1.236870e+00         1.444256e+00         7.778710e-03
         189         1.491434e+00         1.444505e+00         7.741557e-03
         190         1.289360e+00         1.443689e+00         7.743756e-03
         191         1.217469e+00         1.442504e+00         7.793262e-03
         192         1.495521e+00         1.442780e+00         7.757562e-03
         193         1.539155e+00         1.443280e+00         7.733422e-03
         194         1.443066e+00         1.443279e+00         7.693559e-03
         195         1.419385e+00         1.443156e+00         7.655081e-03
         196         1.411082e+00         1.442992e+00         7.617773e-03
         197         1.518408e+00         1.443375e+00         7.588717e-03
         198         1.446752e+00         1.443392e+00         7.550410e-03
         199         1.533605e+00         1.443846e+00         7.526065e-03
         200         1.495981e+00         1.444106e+00         7.492947e-03
