    # BLOCK:          DISTANCE:          ACTUAL_GOFR:          AVE_GOFR:              ERROR:
           2         1.192708e+00         1.626735e+00         1.664821e+00         2.693079e-02
           2         1.218358e+00         1.406471e+00         1.441151e+00         2.452226e-02
           2         1.244008e+00         1.394455e+00         1.352857e+00         2.941450e-02
           2         1.269657e+00         1.267761e+00         1.255819e+00         8.444043e-03
           2         1.295307e+00         1.090283e+00         1.124885e+00         2.446718e-02
           2         1.320956e+00         9.909456e-01         9.848398e-01         4.317406e-03
           2         1.346606e+00         9.489507e-01         9.198060e-01         2.060840e-02
           2         1.372256e+00         9.309011e-01         8.834445e-01         3.355686e-02
           2         1.397905e+00         8.424376e-01         8.220406e-01         1.442284e-02
           2         1.423555e+00         8.032045e-01         7.764113e-01         1.894566e-02
           2         1.449205e+00         7.589416e-01         7.490977e-01         6.960723e-03
           2         1.474854e+00         7.608384e-01         7.358854e-01         1.764441e-02
           2         1.500504e+00         7.320052e-01         6.922276e-01         2.812702e-02
           2         1.526154e+00         7.242886e-01         7.053453e-01         1.339496e-02
           2         1.551803e+00         7.056650e-01         7.053350e-01         2.333623e-04
           2         1.577453e+00         7.092817e-01         7.045679e-01         3.333212e-03
           2         1.603102e+00         6.679536e-01         6.753517e-01         5.231301e-03
           2         1.628752e+00         6.641794e-01         6.699425e-01         4.075069e-03
           2         1.654402e+00         6.493780e-01         6.849221e-01         2.513344e-02
           2         1.680051e+00         6.992006e-01         7.035859e-01         3.100912e-03
           2         1.705701e+00         7.196168e-01         7.165042e-01         2.200898e-03
           2         1.731351e+00         7.813612e-01         7.674568e-01         9.831895e-03
           2         1.757000e+00         8.334034e-01         8.082118e-01         1.781315e-02
           2         1.782650e+00         8.221484e-01         8.266094e-01         3.154399e-03
           2         1.808300e+00         8.884107e-01         8.704000e-01         1.273552e-02
           2         1.833949e+00         9.937296e-01         9.699355e-01         1.682496e-02
           2         1.859599e+00         9.830268e-01         9.831241e-01         6.880004e-05
           2         1.885248e+00         9.673430e-01         9.937853e-01         1.869755e-02
           2         1.910898e+00         9.943192e-01         1.009398e+00         1.066202e-02
           2         1.936548e+00         1.040187e+00         1.062162e+00         1.553819e-02
           2         1.962197e+00         1.079836e+00         1.107365e+00         1.946587e-02
           2         1.987847e+00         1.118774e+00         1.141479e+00         1.605516e-02
