    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
         154         7.572189e+00         7.590910e+00         3.611223e-03
         155         7.575561e+00         7.590811e+00         3.589282e-03
         156         7.552824e+00         7.590568e+00         3.574524e-03
         157         7.569911e+00         7.590436e+00         3.554177e-03
         158         7.606517e+00         7.590538e+00         3.533139e-03
         159         7.565015e+00         7.590377e+00         3.514563e-03
         160         7.622056e+00         7.590575e+00         3.498169e-03
         161         7.441953e+00         7.589652e+00         3.596179e-03
         162         7.659696e+00         7.590084e+00         3.599878e-03
         163         7.574095e+00         7.589986e+00         3.579129e-03
         164         7.562927e+00         7.589821e+00         3.561107e-03
         165         7.514657e+00         7.589366e+00         3.568542e-03
         166         7.610342e+00         7.589492e+00         3.549281e-03
         167         7.601713e+00         7.589565e+00         3.528782e-03
         168         7.665907e+00         7.590020e+00         3.536915e-03
         169         7.586972e+00         7.590002e+00         3.516032e-03
         170         7.646041e+00         7.590331e+00         3.510769e-03
         171         7.606204e+00         7.590424e+00         3.491465e-03
         172         7.552678e+00         7.590205e+00         3.478055e-03
         173         7.607032e+00         7.590302e+00         3.459311e-03
         174         7.622169e+00         7.590485e+00         3.444274e-03
         175         7.686892e+00         7.591036e+00         3.468370e-03
         176         7.566554e+00         7.590897e+00         3.451451e-03
         177         7.486969e+00         7.590310e+00         3.481538e-03
         178         7.569714e+00         7.590194e+00         3.463901e-03
         179         7.642777e+00         7.590488e+00         3.456984e-03
         180         7.643534e+00         7.590783e+00         3.450317e-03
         181         7.523343e+00         7.590410e+00         3.451313e-03
         182         7.605477e+00         7.590493e+00         3.433343e-03
         183         7.624778e+00         7.590680e+00         3.419689e-03
         184         7.566804e+00         7.590550e+00         3.403565e-03
         185         7.545211e+00         7.590305e+00         3.393980e-03
         186         7.630362e+00         7.590521e+00         3.382558e-03
         187         7.577515e+00         7.590451e+00         3.365185e-03
         188         7.559203e+00         7.590285e+00         3.351387e-03
         189         7.627577e+00         7.590482e+00         3.339458e-03
         190         7.633572e+00         7.590709e+00         3.329574e-03
         191         7.653939e+00         7.591040e+00         3.328558e-03
         192         7.634822e+00         7.591268e+00         3.319024e-03
         193         7.644868e+00         7.591546e+00         3.313426e-03
         194         7.644512e+00         7.591819e+00         3.307575e-03
         195         7.644189e+00         7.592087e+00         3.301499e-03
         196         7.605531e+00         7.592156e+00         3.285367e-03
         197         7.578986e+00         7.592089e+00         3.269370e-03
         198         7.618464e+00         7.592222e+00         3.255571e-03
         199         7.478370e+00         7.591650e+00         3.289098e-03
         200         7.628237e+00         7.591833e+00         3.277736e-03
