    #generation:          shortest_distance:          average_of_top_200:
         237              1.635615e+00                   2.466346e+00
         238              1.635615e+00                   2.858046e+00
         239              1.635615e+00                   2.689977e+00
         240              1.635615e+00                   2.537931e+00
         241              1.635615e+00                   2.689947e+00
         242              1.635615e+00                   2.547121e+00
         243              1.635615e+00                   2.373953e+00
         244              1.635615e+00                   2.172608e+00
         245              1.635615e+00                   2.323126e+00
         246              1.635615e+00                   2.341416e+00
         247              1.635615e+00                   2.316308e+00
         248              1.635615e+00                   2.293247e+00
         249              1.635615e+00                   2.195329e+00
         250              1.635615e+00                   1.816814e+00
         251              1.635615e+00                   1.893427e+00
         252              1.635615e+00                   2.330091e+00
         253              1.635615e+00                   2.210917e+00
         254              1.635615e+00                   2.467870e+00
         255              1.635615e+00                   1.966330e+00
         256              1.635615e+00                   1.989313e+00
         257              1.635615e+00                   2.005885e+00
         258              1.635615e+00                   2.123678e+00
         259              1.635615e+00                   2.176287e+00
         260              1.635615e+00                   2.269263e+00
         261              1.635615e+00                   2.071923e+00
         262              1.635615e+00                   2.010248e+00
         263              1.635615e+00                   2.260660e+00
         264              1.635615e+00                   2.576087e+00
         265              1.635615e+00                   2.518089e+00
         266              1.635615e+00                   2.293746e+00
         267              1.635615e+00                   2.027888e+00
         268              1.635615e+00                   2.193204e+00
         269              1.635615e+00                   1.878175e+00
         270              1.635615e+00                   1.767977e+00
         271              1.635615e+00                   1.773207e+00
         272              1.635615e+00                   1.840738e+00
         273              1.635615e+00                   1.882511e+00
         274              1.635615e+00                   2.157941e+00
         275              1.635615e+00                   2.540392e+00
         276              1.635615e+00                   2.167673e+00
         277              1.635615e+00                   2.425776e+00
         278              1.635615e+00                   2.306367e+00
         279              1.635615e+00                   2.070186e+00
         280              1.635615e+00                   2.121628e+00
         281              1.635615e+00                   2.192492e+00
         282              1.635615e+00                   1.963428e+00
         283              1.635615e+00                   1.998412e+00
         284              1.635615e+00                   1.959740e+00
         285              1.635615e+00                   1.962720e+00
         286              1.635615e+00                   2.009510e+00
         287              1.635615e+00                   2.053433e+00
         288              1.635615e+00                   2.099443e+00
         289              1.635615e+00                   2.122131e+00
         290              1.635615e+00                   2.529905e+00
         291              1.635615e+00                   2.158800e+00
         292              1.635615e+00                   1.825462e+00
         293              1.635615e+00                   2.263465e+00
         294              1.635615e+00                   2.093224e+00
         295              1.635615e+00                   2.135605e+00
         296              1.635615e+00                   2.114024e+00
         297              1.635615e+00                   2.169550e+00
         298              1.635615e+00                   2.162206e+00
         299              1.635615e+00                   2.080995e+00
         300              1.635615e+00                   2.446390e+00
         301              1.635615e+00                   2.381763e+00
         302              1.635615e+00                   2.235240e+00
         303              1.635615e+00                   2.097247e+00
         304              1.635615e+00                   2.219276e+00
         305              1.635615e+00                   1.880569e+00
         306              1.635615e+00                   2.046590e+00
         307              1.635615e+00                   2.117273e+00
         308              1.635615e+00                   2.139400e+00
         309              1.635615e+00                   1.901567e+00
         310              1.635615e+00                   2.129737e+00
         311              1.635615e+00                   2.340842e+00
         312              1.635615e+00                   2.013921e+00
         313              1.635615e+00                   2.032070e+00
         314              1.635615e+00                   1.767801e+00
         315              1.635615e+00                   1.799787e+00
         316              1.635615e+00                   2.037378e+00
         317              1.635615e+00                   2.204752e+00
         318              1.635615e+00                   1.991561e+00
         319              1.635615e+00                   1.809702e+00
         320              1.635615e+00                   1.766067e+00
         321              1.635615e+00                   1.857918e+00
         322              1.635615e+00                   2.069654e+00
         323              1.635615e+00                   2.306951e+00
         324              1.635615e+00                   2.149491e+00
         325              1.635615e+00                   2.288240e+00
         326              1.635615e+00                   1.975566e+00
         327              1.635615e+00                   2.143662e+00
         328              1.635615e+00                   2.238030e+00
         329              1.635615e+00                   2.328793e+00
         330              1.635615e+00                   2.204797e+00
         331              1.635615e+00                   2.438417e+00
         332              1.635615e+00                   2.573965e+00
         333              1.635615e+00                   2.781111e+00
         334              1.635615e+00                   2.811406e+00
         335              1.635615e+00                   2.421408e+00
         336              1.635615e+00                   2.241293e+00
         337              1.635615e+00                   2.213885e+00
         338              1.635615e+00                   2.366750e+00
         339              1.635615e+00                   2.121654e+00
         340              1.635615e+00                   2.126931e+00
         341              1.635615e+00                   2.207278e+00
         342              1.635615e+00                   2.226368e+00
         343              1.635615e+00                   2.228157e+00
         344              1.635615e+00                   2.352013e+00
         345              1.635615e+00                   2.247728e+00
         346              1.635615e+00                   2.163795e+00
         347              1.635615e+00                   2.288525e+00
         348              1.635615e+00                   2.368346e+00
         349              1.635615e+00                   2.177770e+00
         350              1.635615e+00                   2.303342e+00
         351              1.635615e+00                   2.064418e+00
         352              1.635615e+00                   1.945707e+00
         353              1.635615e+00                   2.100243e+00
         354              1.635615e+00                   1.946765e+00
         355              1.635615e+00                   1.885875e+00
         356              1.635615e+00                   1.757766e+00
         357              1.635615e+00                   1.944619e+00
         358              1.635615e+00                   2.089127e+00
         359              1.635615e+00                   2.046583e+00
         360              1.635615e+00                   2.081300e+00
         361              1.635615e+00                   1.930582e+00
         362              1.635615e+00                   1.815619e+00
         363              1.635615e+00                   1.801021e+00
         364              1.635615e+00                   2.116075e+00
         365              1.635615e+00                   2.031280e+00
         366              1.635615e+00                   2.285316e+00
         367              1.635615e+00                   1.881113e+00
         368              1.635615e+00                   2.111541e+00
         369              1.635615e+00                   2.069216e+00
         370              1.635615e+00                   2.123201e+00
         371              1.635615e+00                   2.030084e+00
         372              1.635615e+00                   1.805433e+00
         373              1.635615e+00                   1.931828e+00
         374              1.635615e+00                   1.990848e+00
         375              1.635615e+00                   1.897861e+00
         376              1.635615e+00                   2.091989e+00
         377              1.635615e+00                   1.906785e+00
         378              1.635615e+00                   1.825363e+00
         379              1.635615e+00                   1.998973e+00
         380              1.635615e+00                   1.823540e+00
         381              1.635615e+00                   1.991149e+00
         382              1.635615e+00                   1.990678e+00
         383              1.635615e+00                   1.826902e+00
         384              1.635615e+00                   1.885365e+00
         385              1.635615e+00                   2.330316e+00
         386              1.635615e+00                   2.306935e+00
         387              1.635615e+00                   1.870807e+00
         388              1.635615e+00                   1.741718e+00
         389              1.635615e+00                   1.747052e+00
         390              1.635615e+00                   1.768199e+00
         391              1.635615e+00                   1.890431e+00
         392              1.635615e+00                   2.016861e+00
         393              1.635615e+00                   1.970569e+00
         394              1.635615e+00                   2.053120e+00
         395              1.635615e+00                   1.976882e+00
         396              1.635615e+00                   2.384910e+00
         397              1.635615e+00                   2.580642e+00
         398              1.635615e+00                   2.545314e+00
         399              1.635615e+00                   2.252673e+00
         400              1.635615e+00                   2.132947e+00
         401              1.635615e+00                   1.964806e+00
         402              1.635615e+00                   1.938447e+00
         403              1.635615e+00                   1.883060e+00
         404              1.635615e+00                   1.871569e+00
         405              1.635615e+00                   1.996389e+00
         406              1.635615e+00                   2.104839e+00
         407              1.635615e+00                   1.881632e+00
         408              1.635615e+00                   1.847434e+00
         409              1.635615e+00                   2.069635e+00
         410              1.635615e+00                   2.194428e+00
         411              1.635615e+00                   2.202616e+00
         412              1.635615e+00                   1.952857e+00
         413              1.635615e+00                   1.984366e+00
         414              1.635615e+00                   1.799683e+00
         415              1.635615e+00                   1.834248e+00
         416              1.635615e+00                   2.079057e+00
         417              1.635615e+00                   2.175205e+00
         418              1.635615e+00                   2.307316e+00
         419              1.635615e+00                   2.418861e+00
         420              1.635615e+00                   2.475886e+00
         421              1.635615e+00                   2.367888e+00
         422              1.635615e+00                   2.077103e+00
         423              1.635615e+00                   1.938486e+00
         424              1.635615e+00                   2.086950e+00
         425              1.635615e+00                   1.953361e+00
         426              1.635615e+00                   2.026622e+00
         427              1.635615e+00                   2.239576e+00
         428              1.635615e+00                   2.098805e+00
         429              1.635615e+00                   2.029139e+00
         430              1.635615e+00                   2.422057e+00
         431              1.635615e+00                   2.422274e+00
         432              1.635615e+00                   2.141173e+00
         433              1.635615e+00                   2.584063e+00
         434              1.635615e+00                   2.133381e+00
         435              1.635615e+00                   2.146862e+00
         436              1.635615e+00                   2.446496e+00
         437              1.635615e+00                   2.847570e+00
         438              1.635615e+00                   2.434663e+00
         439              1.635615e+00                   2.279487e+00
         440              1.635615e+00                   2.197663e+00
         441              1.635615e+00                   2.293127e+00
         442              1.635615e+00                   2.278276e+00
         443              1.635615e+00                   2.324062e+00
         444              1.635615e+00                   2.075993e+00
         445              1.635615e+00                   2.098853e+00
         446              1.635615e+00                   2.120941e+00
         447              1.635615e+00                   2.370773e+00
         448              1.635615e+00                   2.110622e+00
         449              1.635615e+00                   2.439627e+00
         450              1.635615e+00                   2.387509e+00
         451              1.635615e+00                   2.390063e+00
         452              1.635615e+00                   2.234998e+00
         453              1.635615e+00                   2.141249e+00
         454              1.635615e+00                   2.091983e+00
         455              1.635615e+00                   2.046007e+00
         456              1.635615e+00                   2.085386e+00
         457              1.635615e+00                   2.194298e+00
         458              1.635615e+00                   2.347082e+00
         459              1.635615e+00                   1.933380e+00
         460              1.635615e+00                   2.217279e+00
         461              1.635615e+00                   2.007193e+00
         462              1.635615e+00                   1.964626e+00
         463              1.635615e+00                   2.231743e+00
         464              1.635615e+00                   1.942351e+00
         465              1.635615e+00                   1.863174e+00
         466              1.635615e+00                   2.183566e+00
         467              1.635615e+00                   2.080004e+00
         468              1.635615e+00                   2.330452e+00
         469              1.635615e+00                   2.183060e+00
         470              1.635615e+00                   2.207429e+00
         471              1.635615e+00                   2.267962e+00
         472              1.635615e+00                   2.127516e+00
         473              1.635615e+00                   2.207929e+00
         474              1.635615e+00                   2.123470e+00
         475              1.635615e+00                   1.934806e+00
         476              1.635615e+00                   2.037762e+00
         477              1.635615e+00                   2.452608e+00
         478              1.635615e+00                   2.115728e+00
         479              1.635615e+00                   2.060566e+00
         480              1.635615e+00                   1.809406e+00
         481              1.635615e+00                   1.834852e+00
         482              1.635615e+00                   2.051263e+00
         483              1.635615e+00                   2.121933e+00
         484              1.635615e+00                   2.001208e+00
         485              1.635615e+00                   2.325561e+00
         486              1.635615e+00                   2.114253e+00
         487              1.635615e+00                   2.088889e+00
         488              1.635615e+00                   2.168139e+00
         489              1.635615e+00                   2.211887e+00
         490              1.635615e+00                   2.204237e+00
         491              1.635615e+00                   2.253814e+00
         492              1.635615e+00                   2.451709e+00
         493              1.635615e+00                   2.380565e+00
         494              1.635615e+00                   2.171749e+00
         495              1.635615e+00                   2.089967e+00
         496              1.635615e+00                   2.084179e+00
         497              1.635615e+00                   2.183044e+00
         498              1.635615e+00                   2.593297e+00
         499              1.635615e+00                   2.538772e+00
         500              1.635615e+00                   2.374941e+00
         501              1.635615e+00                   1.989139e+00
         502              1.635615e+00                   2.011162e+00
         503              1.635615e+00                   2.214287e+00
         504              1.635615e+00                   2.250357e+00
         505              1.635615e+00                   2.140226e+00
         506              1.635615e+00                   1.992758e+00
         507              1.635615e+00                   1.850422e+00
         508              1.635615e+00                   1.766810e+00
         509              1.635615e+00                   1.879783e+00
         510              1.635615e+00                   1.917453e+00
         511              1.635615e+00                   2.175779e+00
         512              1.635615e+00                   2.149705e+00
         513              1.635615e+00                   2.642261e+00
         514              1.635615e+00                   2.493504e+00
         515              1.635615e+00                   2.293770e+00
         516              1.635615e+00                   2.245765e+00
         517              1.635615e+00                   2.354844e+00
         518              1.635615e+00                   2.023801e+00
         519              1.635615e+00                   1.930962e+00
         520              1.635615e+00                   1.942559e+00
         521              1.635615e+00                   1.970865e+00
         522              1.635615e+00                   1.911973e+00
         523              1.635615e+00                   2.226188e+00
         524              1.635615e+00                   2.059774e+00
         525              1.635615e+00                   2.500627e+00
         526              1.635615e+00                   2.130305e+00
         527              1.635615e+00                   2.390581e+00
         528              1.635615e+00                   2.143093e+00
         529              1.635615e+00                   2.154354e+00
         530              1.635615e+00                   2.164818e+00
         531              1.635615e+00                   2.253310e+00
         532              1.635615e+00                   2.091615e+00
         533              1.635615e+00                   2.161955e+00
         534              1.635615e+00                   2.324083e+00
         535              1.635615e+00                   2.327899e+00
         536              1.635615e+00                   1.983610e+00
         537              1.635615e+00                   1.926237e+00
         538              1.635615e+00                   2.282946e+00
         539              1.635615e+00                   2.089599e+00
         540              1.635615e+00                   2.213989e+00
         541              1.635615e+00                   1.856019e+00
         542              1.635615e+00                   1.760472e+00
         543              1.635615e+00                   1.902670e+00
         544              1.635615e+00                   1.977957e+00
         545              1.635615e+00                   1.780391e+00
         546              1.635615e+00                   1.961265e+00
         547              1.635615e+00                   2.174961e+00
         548              1.635615e+00                   1.996634e+00
         549              1.635615e+00                   1.972000e+00
         550              1.635615e+00                   2.266714e+00
         551              1.635615e+00                   2.004947e+00
         552              1.635615e+00                   1.919348e+00
         553              1.635615e+00                   2.139749e+00
         554              1.635615e+00                   2.228352e+00
         555              1.635615e+00                   2.510708e+00
         556              1.635615e+00                   2.790614e+00
         557              1.635615e+00                   2.532197e+00
         558              1.635615e+00                   2.907353e+00
         559              1.635615e+00                   2.559744e+00
         560              1.635615e+00                   2.658124e+00
         561              1.635615e+00                   2.472829e+00
         562              1.635615e+00                   2.319517e+00
         563              1.635615e+00                   2.384917e+00
         564              1.635615e+00                   1.925030e+00
         565              1.635615e+00                   2.006340e+00
         566              1.635615e+00                   2.091461e+00
         567              1.635615e+00                   2.271386e+00
         568              1.635615e+00                   2.188046e+00
         569              1.635615e+00                   2.492445e+00
         570              1.635615e+00                   2.095213e+00
         571              1.635615e+00                   1.932813e+00
         572              1.635615e+00                   2.095584e+00
         573              1.635615e+00                   2.062587e+00
         574              1.635615e+00                   1.985960e+00
         575              1.635615e+00                   1.930786e+00
         576              1.635615e+00                   1.946784e+00
         577              1.635615e+00                   1.956885e+00
         578              1.635615e+00                   1.772607e+00
         579              1.635615e+00                   1.729263e+00
         580              1.635615e+00                   1.740296e+00
         581              1.635615e+00                   1.808188e+00
         582              1.635615e+00                   2.291289e+00
         583              1.635615e+00                   2.543678e+00
         584              1.635615e+00                   2.194253e+00
         585              1.635615e+00                   1.962321e+00
         586              1.635615e+00                   2.178327e+00
         587              1.635615e+00                   2.240758e+00
         588              1.635615e+00                   2.392447e+00
         589              1.635615e+00                   2.368341e+00
         590              1.635615e+00                   2.027720e+00
         591              1.635615e+00                   1.784038e+00
         592              1.635615e+00                   1.969456e+00
         593              1.635615e+00                   1.964946e+00
         594              1.635615e+00                   2.098019e+00
         595              1.635615e+00                   2.148893e+00
         596              1.635615e+00                   2.064738e+00
         597              1.635615e+00                   1.842280e+00
         598              1.635615e+00                   2.335592e+00
         599              1.635615e+00                   1.950333e+00
         600              1.635615e+00                   2.027363e+00
         601              1.635615e+00                   1.826463e+00
         602              1.635615e+00                   1.828944e+00
         603              1.635615e+00                   1.894124e+00
         604              1.635615e+00                   1.903899e+00
         605              1.635615e+00                   1.913505e+00
         606              1.635615e+00                   1.938431e+00
         607              1.635615e+00                   1.933356e+00
         608              1.635615e+00                   2.046975e+00
         609              1.635615e+00                   2.337534e+00
         610              1.635615e+00                   1.987446e+00
         611              1.635615e+00                   2.386203e+00
         612              1.635615e+00                   1.855096e+00
         613              1.635615e+00                   1.815894e+00
         614              1.635615e+00                   1.712883e+00
         615              1.635615e+00                   1.756739e+00
         616              1.635615e+00                   1.962313e+00
         617              1.635615e+00                   1.742374e+00
         618              1.635615e+00                   1.946761e+00
         619              1.635615e+00                   1.713513e+00
         620              1.635615e+00                   1.671292e+00
         621              1.635615e+00                   1.808861e+00
         622              1.635615e+00                   1.925804e+00
         623              1.635615e+00                   2.126914e+00
         624              1.635615e+00                   1.999331e+00
         625              1.635615e+00                   1.786382e+00
         626              1.635615e+00                   2.021135e+00
         627              1.635615e+00                   2.173296e+00
         628              1.635615e+00                   1.992168e+00
         629              1.635615e+00                   1.962210e+00
         630              1.635615e+00                   2.485427e+00
         631              1.635615e+00                   2.587938e+00
         632              1.635615e+00                   2.082178e+00
         633              1.635615e+00                   2.164002e+00
         634              1.635615e+00                   1.952508e+00
         635              1.635615e+00                   2.205073e+00
         636              1.635615e+00                   2.054162e+00
         637              1.635615e+00                   1.969767e+00
         638              1.635615e+00                   2.138826e+00
         639              1.635615e+00                   2.782606e+00
         640              1.635615e+00                   2.474680e+00
         641              1.635615e+00                   2.486274e+00
         642              1.635615e+00                   2.454744e+00
         643              1.635615e+00                   2.239712e+00
         644              1.635615e+00                   2.441461e+00
         645              1.635615e+00                   2.188466e+00
         646              1.635615e+00                   2.303982e+00
         647              1.635615e+00                   2.142419e+00
         648              1.635615e+00                   2.061307e+00
         649              1.635615e+00                   2.369949e+00
         650              1.635615e+00                   2.006037e+00
         651              1.635615e+00                   2.014588e+00
         652              1.635615e+00                   1.973569e+00
         653              1.635615e+00                   2.321565e+00
         654              1.635615e+00                   2.305267e+00
         655              1.635615e+00                   2.032635e+00
         656              1.635615e+00                   2.238591e+00
         657              1.635615e+00                   2.208109e+00
         658              1.635615e+00                   2.546707e+00
         659              1.635615e+00                   2.051867e+00
         660              1.635615e+00                   1.969030e+00
         661              1.635615e+00                   1.941188e+00
         662              1.635615e+00                   2.273706e+00
         663              1.635615e+00                   1.977681e+00
         664              1.635615e+00                   2.152409e+00
         665              1.635615e+00                   1.949943e+00
         666              1.635615e+00                   2.373195e+00
         667              1.635615e+00                   2.591958e+00
         668              1.635615e+00                   2.354023e+00
         669              1.635615e+00                   2.044073e+00
         670              1.635615e+00                   1.861115e+00
         671              1.635615e+00                   2.043452e+00
         672              1.635615e+00                   1.838929e+00
         673              1.635615e+00                   2.025250e+00
         674              1.635615e+00                   2.072690e+00
         675              1.635615e+00                   1.837531e+00
         676              1.635615e+00                   2.109425e+00
         677              1.635615e+00                   2.169756e+00
         678              1.635615e+00                   2.135443e+00
         679              1.635615e+00                   1.832142e+00
         680              1.635615e+00                   2.086535e+00
         681              1.635615e+00                   2.003807e+00
         682              1.635615e+00                   2.063182e+00
         683              1.635615e+00                   1.988497e+00
         684              1.635615e+00                   1.845517e+00
         685              1.635615e+00                   1.863585e+00
         686              1.635615e+00                   2.079639e+00
         687              1.635615e+00                   1.948027e+00
         688              1.635615e+00                   1.911681e+00
         689              1.635615e+00                   2.100081e+00
         690              1.635615e+00                   2.140821e+00
