    # BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
         145        -7.523057e+00        -7.517585e+00         3.197965e-04
         146        -7.519683e+00        -7.517599e+00         3.179290e-04
         147        -7.517393e+00        -7.517598e+00         3.157693e-04
         148        -7.514445e+00        -7.517576e+00         3.143537e-04
         149        -7.521009e+00        -7.517600e+00         3.130868e-04
         150        -7.515284e+00        -7.517584e+00         3.113799e-04
         151        -7.520624e+00        -7.517604e+00         3.099677e-04
         152        -7.518046e+00        -7.517607e+00         3.079421e-04
         153        -7.521300e+00        -7.517631e+00         3.068736e-04
         154        -7.521045e+00        -7.517653e+00         3.056806e-04
         155        -7.514911e+00        -7.517636e+00         3.042202e-04
         156        -7.522171e+00        -7.517665e+00         3.036561e-04
         157        -7.512803e+00        -7.517634e+00         3.032968e-04
         158        -7.524192e+00        -7.517675e+00         3.042042e-04
         159        -7.515305e+00        -7.517660e+00         3.026560e-04
         160        -7.515382e+00        -7.517646e+00         3.010992e-04
         161        -7.520112e+00        -7.517662e+00         2.996183e-04
         162        -7.515886e+00        -7.517651e+00         2.979692e-04
         163        -7.521311e+00        -7.517673e+00         2.969862e-04
         164        -7.511942e+00        -7.517638e+00         2.972240e-04
         165        -7.515597e+00        -7.517626e+00         2.956800e-04
         166        -7.516964e+00        -7.517622e+00         2.939256e-04
         167        -7.510147e+00        -7.517577e+00         2.955534e-04
         168        -7.518012e+00        -7.517580e+00         2.938055e-04
         169        -7.515673e+00        -7.517568e+00         2.922836e-04
         170        -7.519632e+00        -7.517580e+00         2.908163e-04
         171        -7.512285e+00        -7.517549e+00         2.907597e-04
         172        -7.513069e+00        -7.517523e+00         2.902340e-04
         173        -7.520071e+00        -7.517538e+00         2.889296e-04
         174        -7.522577e+00        -7.517567e+00         2.887167e-04
         175        -7.519168e+00        -7.517576e+00         2.872118e-04
         176        -7.515849e+00        -7.517566e+00         2.857475e-04
         177        -7.517040e+00        -7.517563e+00         2.841485e-04
         178        -7.520215e+00        -7.517578e+00         2.829424e-04
         179        -7.516327e+00        -7.517571e+00         2.814480e-04
         180        -7.515137e+00        -7.517558e+00         2.802092e-04
         181        -7.512558e+00        -7.517530e+00         2.800194e-04
         182        -7.517027e+00        -7.517527e+00         2.784945e-04
         183        -7.517686e+00        -7.517528e+00         2.769740e-04
         184        -7.513907e+00        -7.517509e+00         2.761671e-04
         185        -7.521638e+00        -7.517531e+00         2.755747e-04
         186        -7.514090e+00        -7.517512e+00         2.747133e-04
         187        -7.521721e+00        -7.517535e+00         2.741644e-04
         188        -7.513911e+00        -7.517516e+00         2.733827e-04
         189        -7.518756e+00        -7.517522e+00         2.720151e-04
         190        -7.517121e+00        -7.517520e+00         2.705916e-04
         191        -7.518320e+00        -7.517524e+00         2.692073e-04
         192        -7.524247e+00        -7.517559e+00         2.700726e-04
         193        -7.517133e+00        -7.517557e+00         2.686823e-04
         194        -7.521632e+00        -7.517578e+00         2.681170e-04
         195        -7.519142e+00        -7.517586e+00         2.668619e-04
         196        -7.516360e+00        -7.517580e+00         2.655737e-04
         197        -7.516474e+00        -7.517574e+00         2.642849e-04
         198        -7.524364e+00        -7.517609e+00         2.651652e-04
         199        -7.507290e+00        -7.517557e+00         2.688548e-04
         200        -7.524112e+00        -7.517589e+00         2.695008e-04
