    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
         327        -4.865449e-01        -4.439398e-01         2.547202e-03
         328        -4.431638e-01        -4.439374e-01         2.539437e-03
         329        -4.586400e-01        -4.439821e-01         2.532112e-03
         330        -5.260890e-01        -4.442309e-01         2.536633e-03
         331        -4.871850e-01        -4.443607e-01         2.532287e-03
         332        -4.836468e-01        -4.444790e-01         2.527423e-03
         333        -4.971059e-01        -4.446371e-01         2.524769e-03
         334        -4.134019e-01        -4.445436e-01         2.518941e-03
         335        -4.624778e-01        -4.445971e-01         2.511991e-03
         336        -4.278790e-01        -4.445473e-01         2.505008e-03
         337        -4.533934e-01        -4.445736e-01         2.497712e-03
         338        -3.771753e-01        -4.443742e-01         2.498269e-03
         339        -4.809527e-01        -4.444821e-01         2.493229e-03
         340        -4.468140e-01        -4.444890e-01         2.485905e-03
         341        -4.756982e-01        -4.445805e-01         2.480299e-03
         342        -4.891486e-01        -4.447108e-01         2.476468e-03
         343        -4.465943e-01        -4.447163e-01         2.469254e-03
         344        -4.155538e-01        -4.446315e-01         2.463531e-03
         345        -3.672440e-01        -4.444072e-01         2.466581e-03
         346        -4.299016e-01        -4.443653e-01         2.459808e-03
         347        -4.973869e-01        -4.445181e-01         2.457461e-03
         348        -4.521521e-01        -4.445400e-01         2.450497e-03
         349        -4.722323e-01        -4.446194e-01         2.444760e-03
         350        -4.760112e-01        -4.447090e-01         2.439420e-03
         351        -4.646629e-01        -4.447659e-01         2.433132e-03
         352        -4.519309e-01        -4.447862e-01         2.426305e-03
         353        -4.694255e-01        -4.448560e-01         2.420435e-03
         354        -4.653114e-01        -4.449138e-01         2.414288e-03
         355        -4.703569e-01        -4.449855e-01         2.408550e-03
         356        -4.846624e-01        -4.450970e-01         2.404362e-03
         357        -4.762954e-01        -4.451843e-01         2.399215e-03
         358        -4.257037e-01        -4.451299e-01         2.393130e-03
         359        -3.996352e-01        -4.450032e-01         2.389817e-03
         360        -4.055108e-01        -4.448935e-01         2.385695e-03
         361        -3.711759e-01        -4.446893e-01         2.387810e-03
         362        -4.570461e-01        -4.447234e-01         2.381458e-03
         363        -4.841692e-01        -4.448321e-01         2.377375e-03
         364        -4.269200e-01        -4.447829e-01         2.371353e-03
         365        -4.609463e-01        -4.448272e-01         2.365270e-03
         366        -4.248286e-01        -4.447725e-01         2.359438e-03
         367        -4.088950e-01        -4.446748e-01         2.355034e-03
         368        -4.596402e-01        -4.447154e-01         2.348985e-03
         369        -5.073881e-01        -4.448853e-01         2.348752e-03
         370        -2.815642e-01        -4.444439e-01         2.383521e-03
         371        -4.518712e-01        -4.444639e-01         2.377180e-03
         372        -3.700859e-01        -4.442640e-01         2.379183e-03
         373        -4.733857e-01        -4.443420e-01         2.374085e-03
         374        -3.051941e-01        -4.439700e-01         2.396713e-03
         375        -4.689873e-01        -4.440367e-01         2.391250e-03
         376        -4.580116e-01        -4.440739e-01         2.385180e-03
         377        -4.348739e-01        -4.440495e-01         2.378978e-03
         378        -5.097444e-01        -4.442233e-01         2.379024e-03
         379        -4.322744e-01        -4.441917e-01         2.372956e-03
         380        -4.895342e-01        -4.443110e-01         2.369709e-03
         381        -4.193826e-01        -4.442456e-01         2.364393e-03
         382        -4.172439e-01        -4.441749e-01         2.359259e-03
         383        -4.577509e-01        -4.442104e-01         2.353366e-03
         384        -4.646252e-01        -4.442635e-01         2.347838e-03
         385        -4.171721e-01        -4.441932e-01         2.342794e-03
