    #T:              ACCEPTANCE:
5.891727e-03         1.000000e-01
5.850570e-03         0.000000e+00
5.809700e-03         1.000000e-01
5.769116e-03         0.000000e+00
5.728816e-03         1.000000e-01
5.688797e-03         0.000000e+00
5.649057e-03         1.000000e-01
5.609595e-03         1.000000e-01
5.570409e-03         0.000000e+00
5.531497e-03         0.000000e+00
5.492856e-03         0.000000e+00
5.454485e-03         0.000000e+00
5.416383e-03         0.000000e+00
5.378546e-03         0.000000e+00
5.340974e-03         0.000000e+00
5.303664e-03         0.000000e+00
5.266615e-03         0.000000e+00
5.229825e-03         0.000000e+00
5.193292e-03         0.000000e+00
5.157014e-03         0.000000e+00
5.120989e-03         0.000000e+00
5.085216e-03         0.000000e+00
5.049693e-03         0.000000e+00
5.014418e-03         1.000000e-01
4.979390e-03         0.000000e+00
4.944606e-03         0.000000e+00
4.910065e-03         0.000000e+00
4.875765e-03         0.000000e+00
4.841705e-03         1.000000e-01
4.807883e-03         0.000000e+00
4.774298e-03         0.000000e+00
4.740946e-03         0.000000e+00
4.707828e-03         0.000000e+00
4.674941e-03         0.000000e+00
4.642284e-03         0.000000e+00
4.609855e-03         0.000000e+00
4.577653e-03         0.000000e+00
4.545675e-03         1.000000e-01
4.513921e-03         1.000000e-01
4.482389e-03         0.000000e+00
4.451077e-03         0.000000e+00
4.419984e-03         0.000000e+00
4.389108e-03         0.000000e+00
4.358447e-03         0.000000e+00
4.328001e-03         0.000000e+00
4.297768e-03         0.000000e+00
4.267745e-03         0.000000e+00
4.237933e-03         0.000000e+00
4.208328e-03         0.000000e+00
4.178931e-03         1.000000e-01
4.149739e-03         0.000000e+00
4.120750e-03         0.000000e+00
4.091965e-03         0.000000e+00
4.063380e-03         0.000000e+00
4.034995e-03         0.000000e+00
4.006808e-03         1.000000e-01
3.978818e-03         1.000000e-01
3.951024e-03         0.000000e+00
3.923424e-03         0.000000e+00
3.896017e-03         0.000000e+00
3.868801e-03         0.000000e+00
3.841775e-03         0.000000e+00
3.814938e-03         0.000000e+00
3.788289e-03         0.000000e+00
3.761825e-03         0.000000e+00
3.735547e-03         0.000000e+00
3.709452e-03         0.000000e+00
3.683539e-03         0.000000e+00
3.657808e-03         1.000000e-01
3.632256e-03         0.000000e+00
3.606882e-03         0.000000e+00
3.581686e-03         0.000000e+00
3.556666e-03         0.000000e+00
3.531821e-03         0.000000e+00
3.507149e-03         0.000000e+00
3.482650e-03         0.000000e+00
3.458322e-03         0.000000e+00
3.434163e-03         0.000000e+00
3.410174e-03         0.000000e+00
3.386352e-03         1.000000e-01
3.362696e-03         0.000000e+00
3.339206e-03         0.000000e+00
3.315880e-03         0.000000e+00
3.292716e-03         0.000000e+00
3.269715e-03         0.000000e+00
3.246874e-03         0.000000e+00
3.224193e-03         0.000000e+00
3.201670e-03         0.000000e+00
3.179305e-03         0.000000e+00
3.157095e-03         1.000000e-01
3.135041e-03         0.000000e+00
3.113141e-03         0.000000e+00
3.091394e-03         1.000000e-01
3.069799e-03         1.000000e-01
3.048355e-03         0.000000e+00
3.027060e-03         0.000000e+00
3.005915e-03         0.000000e+00
2.984917e-03         0.000000e+00
2.964065e-03         0.000000e+00
2.943360e-03         0.000000e+00
2.922799e-03         0.000000e+00
2.902381e-03         0.000000e+00
2.882106e-03         0.000000e+00
2.861973e-03         0.000000e+00
2.841981e-03         0.000000e+00
2.822128e-03         0.000000e+00
2.802414e-03         0.000000e+00
2.782837e-03         0.000000e+00
2.763398e-03         0.000000e+00
2.744094e-03         0.000000e+00
2.724925e-03         0.000000e+00
2.705890e-03         0.000000e+00
2.686987e-03         0.000000e+00
2.668217e-03         0.000000e+00
2.649578e-03         0.000000e+00
2.631070e-03         0.000000e+00
2.612690e-03         0.000000e+00
2.594439e-03         0.000000e+00
2.576315e-03         0.000000e+00
2.558318e-03         0.000000e+00
2.540447e-03         0.000000e+00
2.522701e-03         0.000000e+00
2.505078e-03         0.000000e+00
2.487579e-03         0.000000e+00
2.470202e-03         0.000000e+00
