    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
         174         4.818528e-02         4.975450e-02         1.693918e-04
         175         5.320053e-02         4.977419e-02         1.695646e-04
         176         4.771106e-02         4.976247e-02         1.690059e-04
         177         5.164947e-02         4.977313e-02         1.683869e-04
         178         5.028984e-02         4.977603e-02         1.674660e-04
         179         5.080364e-02         4.978178e-02         1.666288e-04
         180         5.188097e-02         4.979344e-02         1.661107e-04
         181         5.103722e-02         4.980031e-02         1.653350e-04
         182         4.767936e-02         4.978866e-02         1.648367e-04
         183         4.979084e-02         4.978867e-02         1.639360e-04
         184         4.503830e-02         4.976285e-02         1.650654e-04
         185         5.195509e-02         4.977470e-02         1.645980e-04
         186         5.049884e-02         4.977859e-02         1.637591e-04
         187         4.976490e-02         4.977852e-02         1.628834e-04
         188         5.190232e-02         4.978982e-02         1.624083e-04
         189         4.945903e-02         4.978807e-02         1.615584e-04
         190         4.976144e-02         4.978793e-02         1.607081e-04
         191         5.170605e-02         4.979797e-02         1.601802e-04
         192         5.357569e-02         4.981765e-02         1.605498e-04
         193         5.061744e-02         4.982179e-02         1.597714e-04
         194         4.885374e-02         4.981680e-02         1.590257e-04
         195         4.740005e-02         4.980441e-02         1.586924e-04
         196         4.871765e-02         4.979886e-02         1.579796e-04
         197         5.031114e-02         4.980146e-02         1.571991e-04
         198         4.639457e-02         4.978426e-02         1.573440e-04
         199         5.164024e-02         4.979358e-02         1.568295e-04
         200         4.974897e-02         4.979336e-02         1.560455e-04
