    #generation:          shortest_distance:          average_of_top_200:
         270              4.996578e+00                   4.999440e+00
         271              4.996578e+00                   4.996880e+00
         272              4.996578e+00                   4.998425e+00
         273              4.996578e+00                   5.054337e+00
         274              4.996578e+00                   5.039372e+00
         275              4.996578e+00                   4.996578e+00
         276              4.996578e+00                   4.998115e+00
         277              4.996578e+00                   5.000582e+00
         278              4.996578e+00                   4.996578e+00
         279              4.996578e+00                   5.006791e+00
         280              4.996578e+00                   4.998089e+00
         281              4.996578e+00                   5.025435e+00
         282              4.996578e+00                   5.023136e+00
         283              4.996578e+00                   5.006494e+00
         284              4.996578e+00                   5.001636e+00
         285              4.996578e+00                   4.996578e+00
         286              4.996578e+00                   4.996578e+00
         287              4.996578e+00                   5.008168e+00
         288              4.996578e+00                   5.024771e+00
         289              4.996578e+00                   5.005422e+00
         290              4.996578e+00                   4.998541e+00
         291              4.996578e+00                   4.996578e+00
         292              4.996578e+00                   4.996578e+00
         293              4.996578e+00                   4.996578e+00
         294              4.996578e+00                   4.996578e+00
         295              4.996578e+00                   4.996578e+00
         296              4.996578e+00                   4.996578e+00
         297              4.996578e+00                   4.996578e+00
         298              4.996578e+00                   5.005686e+00
         299              4.996578e+00                   5.026297e+00
         300              4.996578e+00                   4.998599e+00
         301              4.996578e+00                   4.996578e+00
         302              4.996578e+00                   4.996578e+00
         303              4.996578e+00                   4.996578e+00
         304              4.996578e+00                   5.051716e+00
         305              4.996578e+00                   5.081238e+00
         306              4.996578e+00                   5.020716e+00
         307              4.996578e+00                   5.036119e+00
         308              4.996578e+00                   5.013754e+00
         309              4.996578e+00                   5.029936e+00
         310              4.996578e+00                   5.029905e+00
         311              4.996578e+00                   4.997238e+00
         312              4.996578e+00                   4.996578e+00
         313              4.996578e+00                   4.996578e+00
         314              4.996578e+00                   4.996578e+00
         315              4.996578e+00                   5.000688e+00
         316              4.996578e+00                   4.996578e+00
         317              4.996578e+00                   4.996578e+00
         318              4.996578e+00                   5.005061e+00
         319              4.996578e+00                   4.996578e+00
         320              4.996578e+00                   4.996578e+00
         321              4.996578e+00                   4.996578e+00
         322              4.996578e+00                   5.042812e+00
         323              4.996578e+00                   5.014042e+00
         324              4.996578e+00                   5.000094e+00
         325              4.996578e+00                   5.000276e+00
         326              4.996578e+00                   5.003846e+00
         327              4.996578e+00                   5.009417e+00
         328              4.996578e+00                   5.012264e+00
         329              4.996578e+00                   5.007848e+00
         330              4.996578e+00                   5.005297e+00
         331              4.996578e+00                   5.003689e+00
         332              4.996578e+00                   5.029484e+00
         333              4.996578e+00                   5.075903e+00
         334              4.996578e+00                   5.008134e+00
         335              4.996578e+00                   5.005841e+00
         336              4.996578e+00                   4.997978e+00
         337              4.996578e+00                   4.999949e+00
         338              4.996578e+00                   5.041114e+00
         339              4.996578e+00                   5.047069e+00
         340              4.996578e+00                   5.053720e+00
         341              4.996578e+00                   5.051597e+00
         342              4.996578e+00                   5.017958e+00
         343              4.996578e+00                   5.023232e+00
         344              4.996578e+00                   5.040404e+00
         345              4.996578e+00                   5.047237e+00
         346              4.996578e+00                   5.053677e+00
         347              4.996578e+00                   5.014241e+00
         348              4.996578e+00                   5.009293e+00
         349              4.996578e+00                   5.000709e+00
         350              4.996578e+00                   4.996578e+00
         351              4.996578e+00                   4.996578e+00
         352              4.996578e+00                   4.996578e+00
         353              4.996578e+00                   5.004335e+00
         354              4.996578e+00                   5.022154e+00
         355              4.996578e+00                   5.034270e+00
         356              4.996578e+00                   5.004839e+00
         357              4.996578e+00                   5.000425e+00
         358              4.996578e+00                   5.003715e+00
         359              4.996578e+00                   4.998478e+00
         360              4.996578e+00                   4.996578e+00
         361              4.996578e+00                   4.998605e+00
         362              4.996578e+00                   4.996578e+00
         363              4.996578e+00                   4.996578e+00
         364              4.996578e+00                   4.996578e+00
         365              4.996578e+00                   4.996578e+00
         366              4.996578e+00                   4.997035e+00
         367              4.996578e+00                   4.996578e+00
         368              4.996578e+00                   4.996578e+00
         369              4.996578e+00                   4.996578e+00
         370              4.996578e+00                   5.039254e+00
         371              4.996578e+00                   5.005749e+00
         372              4.996578e+00                   5.017916e+00
         373              4.996578e+00                   5.031944e+00
         374              4.996578e+00                   5.024864e+00
         375              4.996578e+00                   5.065927e+00
         376              4.996578e+00                   5.044714e+00
         377              4.996578e+00                   5.038780e+00
         378              4.996578e+00                   5.011162e+00
         379              4.996578e+00                   5.023076e+00
         380              4.996578e+00                   5.004080e+00
         381              4.996578e+00                   4.996578e+00
         382              4.996578e+00                   5.008518e+00
         383              4.996578e+00                   5.004274e+00
         384              4.996578e+00                   4.996578e+00
         385              4.996578e+00                   4.996578e+00
         386              4.996578e+00                   4.996578e+00
         387              4.996578e+00                   4.996578e+00
         388              4.996578e+00                   4.996578e+00
         389              4.996578e+00                   5.008397e+00
         390              4.996578e+00                   4.997082e+00
         391              4.996578e+00                   4.996578e+00
         392              4.996578e+00                   4.996578e+00
         393              4.996578e+00                   4.996578e+00
         394              4.996578e+00                   4.996981e+00
         395              4.996578e+00                   4.996578e+00
         396              4.996578e+00                   4.998774e+00
         397              4.996578e+00                   4.996592e+00
         398              4.996578e+00                   5.001405e+00
         399              4.996578e+00                   4.996619e+00
         400              4.996578e+00                   5.006632e+00
         401              4.996578e+00                   5.048012e+00
         402              4.996578e+00                   5.033819e+00
         403              4.996578e+00                   5.007645e+00
         404              4.996578e+00                   5.000869e+00
         405              4.996578e+00                   5.033026e+00
         406              4.996578e+00                   5.031761e+00
         407              4.996578e+00                   5.076719e+00
         408              4.996578e+00                   5.070441e+00
         409              4.996578e+00                   5.066788e+00
         410              4.996578e+00                   5.025921e+00
         411              4.996578e+00                   5.020217e+00
         412              4.996578e+00                   5.005131e+00
         413              4.996578e+00                   5.039227e+00
         414              4.996578e+00                   4.999915e+00
         415              4.996578e+00                   4.996587e+00
         416              4.996578e+00                   4.998594e+00
         417              4.996578e+00                   4.997186e+00
