    # BLOCK:          ACTUAL_KE:              KE_AVE:              ERROR:
         181         1.817998e+00         1.819123e+00         3.087112e-03
         182         1.816873e+00         1.819110e+00         3.070174e-03
         183         1.811286e+00         1.819068e+00         3.053695e-03
         184         1.765217e+00         1.818775e+00         3.051091e-03
         185         1.822059e+00         1.818793e+00         3.034650e-03
         186         1.867535e+00         1.819055e+00         3.029629e-03
         187         1.830953e+00         1.819118e+00         3.014096e-03
         188         1.840126e+00         1.819230e+00         3.000134e-03
         189         1.854979e+00         1.819419e+00         2.990217e-03
         190         1.812357e+00         1.819382e+00         2.974710e-03
         191         1.862585e+00         1.819608e+00         2.967722e-03
         192         1.854072e+00         1.819788e+00         2.957689e-03
         193         1.844752e+00         1.819917e+00         2.945191e-03
         194         1.836328e+00         1.820002e+00         2.931224e-03
         195         1.843850e+00         1.820124e+00         2.918742e-03
         196         1.891461e+00         1.820488e+00         2.926456e-03
         197         1.819997e+00         1.820486e+00         2.911602e-03
         198         1.750091e+00         1.820130e+00         2.918523e-03
         199         1.762664e+00         1.819841e+00         2.918108e-03
         200         1.801888e+00         1.819751e+00         2.904898e-03
