    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
         168         1.406807e+00         1.406781e+00         6.129436e-06
         169         1.406774e+00         1.406781e+00         6.093286e-06
         170         1.406733e+00         1.406780e+00         6.063966e-06
         171         1.406753e+00         1.406780e+00         6.030605e-06
         172         1.406848e+00         1.406781e+00         6.008586e-06
         173         1.406778e+00         1.406781e+00         5.973878e-06
         174         1.406690e+00         1.406780e+00         5.962094e-06
         175         1.406775e+00         1.406780e+00         5.928097e-06
         176         1.406882e+00         1.406781e+00         5.922754e-06
         177         1.406863e+00         1.406781e+00         5.907704e-06
         178         1.406814e+00         1.406781e+00         5.877427e-06
         179         1.406861e+00         1.406782e+00         5.861514e-06
         180         1.406768e+00         1.406782e+00         5.829450e-06
         181         1.406592e+00         1.406781e+00         5.890878e-06
         182         1.406562e+00         1.406779e+00         5.979266e-06
         183         1.406611e+00         1.406778e+00         6.017242e-06
         184         1.406709e+00         1.406778e+00         5.996244e-06
         185         1.406629e+00         1.406777e+00         6.018031e-06
         186         1.406699e+00         1.406777e+00         6.000517e-06
         187         1.406693e+00         1.406776e+00         5.984964e-06
         188         1.406660e+00         1.406776e+00         5.984968e-06
         189         1.406660e+00         1.406775e+00         5.984662e-06
         190         1.406817e+00         1.406775e+00         5.957128e-06
         191         1.406678e+00         1.406775e+00         5.947843e-06
         192         1.406597e+00         1.406774e+00         5.988290e-06
         193         1.406644e+00         1.406773e+00         5.994725e-06
         194         1.406803e+00         1.406773e+00         5.965767e-06
         195         1.406753e+00         1.406773e+00         5.936081e-06
         196         1.406817e+00         1.406774e+00         5.909990e-06
         197         1.406882e+00         1.406774e+00         5.905567e-06
         198         1.406933e+00         1.406775e+00         5.929704e-06
         199         1.406765e+00         1.406775e+00         5.900123e-06
         200         1.406854e+00         1.406775e+00         5.883879e-06
