    # generation:          shortest_distance:          average_of_top_2000:
          60               2.38348006891544              2.544250584243188
          61               2.34878586811826              2.523817157145955
          62               2.34073459750263              2.488600701964674
          63              2.320586807187147              2.454324968345432
          64              2.312535536571517              2.424045377358054
          65              2.294630444652954              2.398491835372464
          66              2.286579174037324               2.37985824449033
          67              2.265909946459193              2.358042998901865
          68              2.254078961430722               2.34622199179169
          69              2.223620171153411              2.325742283668408
          70              2.213793918522386              2.308968809046185
          71              2.188626286790925              2.295728266792307
          72              2.188626286790925              2.286887905480333
          73              2.180050134796909              2.287105723446083
          74              2.169804428757367              2.290261321399973
          75              2.140619065056355              2.283715076211506
          76               2.13375456640863              2.266044211208883
          77              2.093172485695921              2.250527879578911
          78              2.076518673600973              2.236939230712765
          79              2.066331383704521              2.215748992253361
          80              2.036437441217894              2.203043258914124
          81              2.027443407418045              2.181203047308982
          82              1.996120180251458              2.156544191488087
          83              1.987544028257441              2.134357348790954
          84              1.987544028257441              2.112137767497544
          85               1.96773059461542              2.089231507638555
          86              1.951336978729116              2.068581637108705
          87              1.932549210272917              2.052288463437929
          88              1.923050901870158              2.040693577098325
          89               1.90012378083024              2.024999016442842
          90              1.898701908396231              2.007030945778398
          91              1.860418836130736              1.986586740973836
          92              1.834699104157835              1.963252628116743
          93              1.834699104157835              1.942096268410201
          94              1.820156012802168              1.921039510524321
          95              1.795534034717045               1.89968593323524
          96              1.783821187080583              1.877741165490763
          97              1.763647164744014              1.855041989299055
          98              1.746329241859144              1.834753107906843
          99               1.73080980438188              1.817686688092161
         100              1.719604536230374              1.799608431705416
         101              1.685533033277464              1.781536759287615
         102               1.67958226481123              1.765887039651944
         103              1.667784643538111              1.746977251027418
         104              1.660412394712464              1.732484742445461
         105              1.658701718943228              1.717630080620406
         106              1.639531848844462              1.706350621589718
         107              1.621783459105109              1.694821763649318
         108              1.617453426039097              1.680903239790118
         109              1.608718411823707               1.67035122366244
         110              1.604890045400918               1.66053431735265
         111              1.584009499532916              1.646785730348826
         112              1.570944452251513              1.639651671149422
         113              1.560114455792183              1.631093705105762
         114              1.553819288978549              1.615593901976465
         115              1.542989292519218               1.60100949385461
         116              1.539881253199059              1.594358834378433
         117              1.531882061048288              1.585703104990384
         118              1.530524575014094              1.576254880766254
         119              1.519417343543163              1.568945240938604
         120              1.511766789290922              1.562888891313845
